"Year","Name","Activity","Allocation","Value"
2012,"Carter Holt Harvey Limited","Packaging and industrial paper",21198,132063.54
2012,"Carter Holt Harvey Pulp & Paper Limited","Packaging and industrial paper",114228,711640.44
2012,"Affco New Zealand Limited","Protein meal",5800,36134
2012,"Alliance Group Limited","Protein meal",6325,39404.75
2012,"Blue Sky Meats (N.Z.) Limited","Protein meal",402,2504.46
2012,"CMP Canterbury Limited","Protein meal",3056,19038.88
2012,"CMP Kokiri Limited","Protein meal",732,4560.36
2012,"Farm Brands Limited","Protein meal",3109,19369.07
2012,"Graeme Lowe Protein Limited","Protein meal",8794,54786.62
2012,"Kakariki Proteins Limited","Protein meal",509,3171.07
2012,"Keep It Clean Limited","Protein meal",1511,9413.53
2012,"Prime Range Meats Limited","Protein meal",491,3058.93
2012,"PVL Proteins Limited","Protein meal",2368,14752.64
2012,"Silver Fern Farms Limited","Protein meal",5423,33785.29
2012,"Taylor Preston Limited","Protein meal",1193,7432.39
2012,"Tegel Foods Limited","Protein meal",745,4641.35
2012,"Value Proteins Limited","Protein meal",1026,6391.98
2012,"Wallace Corporation Limited","Protein meal",7388,46027.24
2012,"Carter Holt Harvey Limited","Reconstituted wood panels",1067,6647.41
2012,"Daiken New Zealand Limited","Reconstituted wood panels",9181,57197.63
2012,"Dongwha Patinna NZ Limited","Reconstituted wood panels",8327,51877.21
2012,"Fletcher Building Products Limited","Reconstituted wood panels",1784,11114.32
2012,"Juken New Zealand Limited","Reconstituted wood panels",5586,34800.78
2012,"Nelson Pine Industries Limited","Reconstituted wood panels",15449,96247.27
2012,"SCA Hygiene Australasia Limited","Tissue paper",18463,115024.49
2012,"Fonterra Limited","Whey powder",970,6043.1
2013,"New Zealand Aluminium Smelters Limited","Aluminium Smelting",1524172,2956893.68
2013,"Holcim (New Zealand) Limited","Burnt Lime",8310,16121.4
2013,"McDonald's Lime Limited","Burnt Lime",114351,221840.94
2013,"Perry Lime Limited","Burnt Lime",5522,10712.68
2013,"Websters Hydrated Lime Company Limited","Burnt Lime",2650,5141
2013,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide (Urea)",164361,318860.34
2013,"Fletcher Steel Limited","Carbon steel from cold ferrous feed",40866,79280.04
2013,"Whakatane Mill Limited","Cartonboard",80639,156439.66
2013,"Carter Holt Harvey Pulp & Paper Limited","Caustic soda",10168,19725.92
2013,"Fletcher Concrete and Infrastructure Limited","Cementitious products",282371,547799.74
2013,"Holcim (New Zealand) Limited","Cementitious products",184204,357355.76
2013,"CSR Building Products (NZ) Ltd","Clay bricks and field tiles",3135,6081.9
2013,"Franko Roses New Zealand Limited","Cut roses",105,203.7
2013,"Moffatts Flower Company Limited","Cut roses",846,1641.24
2013,"Paul Gregory Whitehead, John Hamilton Falloon","Cut roses",41,79.54
2013,"Riverland Nurseries Limited","Cut roses",442,857.48
2013,"Royal Roses Limited","Cut roses",41,79.54
2013,"S and D Stocks","Cut roses",76,147.44
2013,"Shipherd Nurseries Limited","Cut roses",792,1536.48
2013,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",26,50.44
2013,"Van Berlo Limited","Cut roses",137,265.78
2013,"Van Lier Nurseries Limited","Cut roses",603,1169.82
2013,"Anchor Ethanol Limited","Ethanol",6361,12340.34
2013,"Appleby Fresh Limited","Fresh Capsicums",25,48.5
2013,"Flat-Tac Capsicums Limited","Fresh Capsicums",153,296.82
2013,"Gourmet Mokai Limited","Fresh Capsicums",1851,3590.94
2013,"Gourmet Paprika Limited","Fresh Capsicums",3342,6483.48
2013,"Gourmet Waiuku Limited","Fresh Capsicums",391,758.54
2013,"Harbour Head Growers Limited","Fresh Capsicums",128,248.32
2013,"Homestead Produce Limited","Fresh Capsicums",534,1035.96
2013,"J.S. Ewers Limited","Fresh Capsicums",691,1340.54
2013,"Kipps' Patch Limited","Fresh Capsicums",33,64.02
2013,"M & T Matthews Partnership","Fresh Capsicums",20,38.8
2013,"Pieter and Maria Anna van der Gulik","Fresh Capsicums",6,11.64
2013,"Poppas Peppers 2009 Limited","Fresh Capsicums",250,485
2013,"Sinai Hort Limited","Fresh Capsicums",390,756.6
2013,"Southern Paprika Limited","Fresh Capsicums",5298,10278.12
2013,"Under Glass (Bombay) Limited","Fresh Capsicums",374,725.56
2013,"Under Glass (Karaka) Limited","Fresh Capsicums",488,946.72
2013,"Whakatane Growers Limited","Fresh Capsicums",791,1534.54
2013,"Alwyn Ernest & Anne Marie Inger","Fresh Cucumbers",279,541.26
2013,"Exception Limited","Fresh Cucumbers",1980,3841.2
2013,"Hanna Hothouses Limited","Fresh Cucumbers",215,417.1
2013,"J.S. Ewers Limited","Fresh Cucumbers",12,23.28
2013,"Jai Shankar Growers Limited","Fresh Cucumbers",198,384.12
2013,"Karaka Park Produce Limited","Fresh Cucumbers",457,886.58
2013,"Parkgard Growers 2000 Limited","Fresh Cucumbers",57,110.58
2013,"Pieter and Maria Anna van der Gulik","Fresh Cucumbers",20,38.8
2013,"R K & M D Sharma","Fresh Cucumbers",1335,2589.9
2013,"Sharma Produce Limited","Fresh Cucumbers",519,1006.86
2013,"Under Glass (Bombay) Limited","Fresh Cucumbers",1490,2890.6
2013,"A J & J E Ivicevich","Fresh Tomatoes",129,250.26
2013,"Castle Rock Orchard Limited","Fresh Tomatoes",268,519.92
2013,"Dong Hyuk Cha & Soo Hwan Cha","Fresh Tomatoes",2,3.88
2013,"Edward Malcolm Duncan & Desma Claire Duncan","Fresh Tomatoes",9,17.46
2013,"F and B Abma","Fresh Tomatoes",129,250.26
2013,"Gourmet Mokai Limited","Fresh Tomatoes",1627,3156.38
2013,"Graeme David Fair & Ann Christine Fair","Fresh Tomatoes",9,17.46
2013,"Great Lake Tomatoes Limited","Fresh Tomatoes",2325,4510.5
2013,"Hanna Hothouses Limited","Fresh Tomatoes",269,521.86
2013,"Il Kyu Ahn","Fresh Tomatoes",54,104.76
2013,"J.S. Ewers Limited","Fresh Tomatoes",2200,4268
2013,"Jae Young Hong, Sun Young Park","Fresh Tomatoes",51,98.94
2013,"Jai Shankar Growers Limited","Fresh Tomatoes",15,29.1
2013,"Karamea Tomatoes Limited","Fresh Tomatoes",343,665.42
2013,"Kingbridge Limited","Fresh Tomatoes",58,112.52
2013,"Kyoung Lae Lee, Hye Young Jung","Fresh Tomatoes",61,118.34
2013,"Lee Wang Hothouse Limited","Fresh Tomatoes",74,143.56
2013,"Lycopene Fresh Vegefruit Ltd","Fresh Tomatoes",30,58.2
2013,"MA & AM & EM Sanders Partnership","Fresh Tomatoes",246,477.24
2013,"New Zealand Fresh Floria Limited","Fresh Tomatoes",37,71.78
2013,"Nortonta Limited","Fresh Tomatoes",457,886.58
2013,"P H Kinzett Limited","Fresh Tomatoes",761,1476.34
2013,"P J & M J Fausett Partnership","Fresh Tomatoes",79,153.26
2013,"Parkgard Growers 2000 Limited","Fresh Tomatoes",51,98.94
2013,"Pieter and Maria Anna van der Gulik","Fresh Tomatoes",15,29.1
2013,"Pomoana Gardens Limited","Fresh Tomatoes",124,240.56
2013,"Rembrandt van Rijen Limited","Fresh Tomatoes",1219,2364.86
2013,"Reupena Kovati & Eseta Kovati","Fresh Tomatoes",27,52.38
2013,"Status Produce Limited","Fresh Tomatoes",6801,13193.94
2013,"TA & DM Turner","Fresh Tomatoes",50,97
2013,"Ting-Yuan Robert Wu","Fresh Tomatoes",70,135.8
2013,"Tiny Toms Limited","Fresh Tomatoes",51,98.94
2013,"Under Glass (Bombay) Limited","Fresh Tomatoes",1353,2624.82
2013,"Under Glass (Karaka) Limited","Fresh Tomatoes",3163,6136.22
2013,"Vege Fresh Growers Limited","Fresh Tomatoes",199,386.06
2013,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh Tomatoes",37,71.78
2013,"Won Ha Park and Ji-Im Park","Fresh Tomatoes",38,73.72
2013,"GELITA NZ Limited","Gelatine",3068,5951.92
2013,"ACI Operations NZ Limited","Glass Containers",35803,69457.82
2013,"Evonik Peroxide Limited","Hydrogen Peroxide",10330,20040.2
2013,"New Zealand Steel Development Limited","Iron and steel from iron sand",1029352,1996942.88
2013,"Fonterra Limited","Lactose",28140,54591.6
2013,"Carter Holt Harvey Pulp & Paper Limited","Market Pulp",150842,292633.48
2013,"Pan Pac Forest Products Limited","Market Pulp",114805,222721.7
2013,"Winstone Pulp International Limited","Market Pulp",89679,173977.26
2013,"Methanex New Zealand Limited","Methanol",499704,969425.76
2013,"Norske Skog Tasman Limited","Newsprint",125162,242814.28
2013,"Carter Holt Harvey Limited","Packaging and industrial paper",21815,42321.1
2013,"Carter Holt Harvey Pulp & Paper Limited","Packaging and industrial paper",125301,243083.94
2013,"AFFCO New Zealand Limited","Protein meal",6640,12881.6
2013,"Alliance Group Limited","Protein meal",6133,11898.02
2013,"Blue Sky Meats (NZ) Limited","Protein meal",405,785.7
2013,"CMP Canterbury Limited","Protein meal",3298,6398.12
2013,"CMP Kokiri Limited","Protein meal",479,929.26
2013,"Farm Brands Limited","Protein meal",3833,7436.02
2013,"Graeme Lowe Protein Limited","Protein meal",9338,18115.72
2013,"Kakariki Proteins Limited","Protein meal",739,1433.66
2013,"Keep It Clean Limited","Protein meal",1613,3129.22
2013,"Prime Range Meats Limited","Protein meal",407,789.58
2013,"PVL Proteins Limited","Protein meal",2340,4539.6
2013,"Silver Fern Farms Limited","Protein meal",2954,5730.76
2013,"Taylor Preston Limited","Protein meal",1238,2401.72
2013,"Tegel Foods Limited","Protein meal",785,1522.9
2013,"Value Proteins Limited","Protein meal",1375,2667.5
2013,"Wallace Corporation Limited","Protein meal",8079,15673.26
2013,"Carter Holt Harvey Limited","Reconstituted wood panels",777,1507.38
2013,"Daiken New Zealand Limited","Reconstituted wood panels",8864,17196.16
2013,"Dongwha Patinna NZ Limited","Reconstituted wood panels",8250,16005
2013,"Fletcher Building Products Limited","Reconstituted wood panels",1705,3307.7
2013,"Juken New Zealand Limited","Reconstituted wood panels",5641,10943.54
2013,"Nelson Pine Industries Limited","Reconstituted wood panels",15937,30917.78
2013,"SCA Hygiene Australasia Limited","Tissue paper",18517,35922.98
2013,"Fonterra Limited","Whey powder",622,1206.68
2014,"New Zealand Aluminium Smelters Limited","Aluminium smelting",755987,3084426.96
2014,"Holcim (New Zealand) Limited","Burnt lime",9449,38551.92
2014,"McDonald's Lime Limited","Burnt lime",128973,526209.84
2014,"Perry Lime Limited","Burnt lime",976,3982.08
2014,"Websters Hydrated Lime Company Limited","Burnt lime",3169,12929.52
2014,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide",198469,809753.52
2014,"Fletcher Steel Limited","Carbon steel from cold ferrous feed",50488,205991.04
2014,"Pacific Steel (NZ) Limited","Carbon steel from cold ferrous feed",9342,38115.36
2014,"Whakatane Mill Limited","Cartonboard",79866,325853.28
2014,"Carter Holt Harvey Pulp & Paper Limited","Caustic soda",9474,38653.92
2014,"Fletcher Concrete and Infrastructure Limited","Cementitious products",322430,1315514.4
2014,"Holcim (New Zealand) Limited","Cementitious products",183263,747713.04
2014,"CSR Building Products (NZ) Ltd","Clay bricks and field tiles",2418,9865.44
2014,"Franko Roses New Zealand Limited","Cut roses",57,232.56
2014,"Moffatts Flower Company Limited","Cut roses",884,3606.72
2014,"Paul Gregory Whitehead, John Hamilton Charles Falloon","Cut roses",45,183.6
2014,"Riverland Nurseries Limited","Cut roses",378,1542.24
2014,"Royal Roses Limited","Cut roses",42,171.36
2014,"S & D Stocks","Cut roses",53,216.24
2014,"Shipherd Nurseries Limited","Cut roses",939,3831.12
2014,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",20,81.6
2014,"Van Lier Nurseries Limited","Cut roses",577,2354.16
2014,"Van Berlo Limited","Cut roses",158,644.64
2014,"Anchor Ethanol Limited","Ethanol",6191,25259.28
2014,"Flat-Tac Capsicums Limited","Fresh capsicums",162,660.96
2014,"Gourmet Mokai Limited","Fresh capsicums",1875,7650
2014,"Gourmet Paprika Limited","Fresh capsicums",3300,13464
2014,"Gourmet Waiuku Limited","Fresh capsicums",1308,5336.64
2014,"Harbour Head Growers Limited","Fresh capsicums",138,563.04
2014,"Homestead Produce Limited","Fresh capsicums",643,2623.44
2014,"J.S. Ewers Limited","Fresh capsicums",613,2501.04
2014,"M & T Matthews Partnership","Fresh capsicums",21,85.68
2014,"Poppas Peppers 2009 Limited","Fresh capsicums",240,979.2
2014,"Sinai Hort Limited","Fresh capsicums",377,1538.16
2014,"Southern Paprika Limited","Fresh capsicums",6351,25912.08
2014,"Taaza Green Limited","Fresh capsicums",76,310.08
2014,"Under Glass (Bombay) Limited","Fresh capsicums",884,3606.72
2014,"Whakatane Growers Limited","Fresh capsicums",872,3557.76
2014,"Exception Limited","Fresh cucumbers",3018,12313.44
2014,"Hanna Hothouses Limited","Fresh cucumbers",207,844.56
2014,"Island Horticulture Limited","Fresh cucumbers",759,3096.72
2014,"Karaka Park Produce Limited","Fresh cucumbers",529,2158.32
2014,"M & T Matthews Partnership","Fresh cucumbers",22,89.76
2014,"R K & M D Sharma","Fresh cucumbers",1423,5805.84
2014,"Sharma Produce Limited","Fresh cucumbers",540,2203.2
2014,"Under Glass (Bombay) Limited","Fresh cucumbers",1587,6474.96
2014,"A J & J E Ivicevich","Fresh tomatoes",147,599.76
2014,"Castle Rock Orchard Limited","Fresh tomatoes",316,1289.28
2014,"Edward Malcolm Duncan & Desma Claire Duncan","Fresh tomatoes",15,61.2
2014,"Gourmet Mokai Limited","Fresh tomatoes",1907,7780.56
2014,"Graeme David Fair & Ann Christine Fair","Fresh tomatoes",6,24.48
2014,"Great Lake Tomatoes Limited","Fresh tomatoes",2349,9583.92
2014,"Hanna Hothouses Limited","Fresh tomatoes",638,2603.04
2014,"J.S. Ewers Limited","Fresh tomatoes",2775,11322
2014,"Karamea Tomatoes Limited","Fresh tomatoes",165,673.2
2014,"Kingbridge Limited","Fresh tomatoes",67,273.36
2014,"Lee Wang Hothouse Limited","Fresh tomatoes",40,163.2
2014,"Lycopene Fresh Vegefruit Ltd","Fresh tomatoes",31,126.48
2014,"MA & AM & EM Sanders Partnership","Fresh tomatoes",254,1036.32
2014,"New Zealand Fresh Floria Limited","Fresh tomatoes",48,195.84
2014,"Nortonta Limited","Fresh tomatoes",440,1795.2
2014,"P H Kinzett Limited","Fresh tomatoes",884,3606.72
2014,"P J & M J Fausett Partnership","Fresh tomatoes",96,391.68
2014,"Pomoana Gardens Limited","Fresh tomatoes",141,575.28
2014,"Status Produce Limited","Fresh tomatoes",6924,28249.92
2014,"Rembrandt van Rijen Limited","Fresh tomatoes",1423,5805.84
2014,"Reupena Kovati & Eseta Kovati","Fresh tomatoes",28,114.24
2014,"TA & DM Turner","Fresh tomatoes",20,81.6
2014,"Tiny Toms Limited","Fresh tomatoes",62,252.96
2014,"Under Glass (Bombay) Limited","Fresh tomatoes",1178,4806.24
2014,"Under Glass (Karaka) Limited","Fresh tomatoes",4314,17601.12
2014,"Vege Fresh Growers Limited","Fresh tomatoes",365,1489.2
2014,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh tomatoes",37,150.96
2014,"Won Ha Park and Ji-Im Park","Fresh tomatoes",34,138.72
2014,"GELITA NZ Limited","Gelatine",2917,11901.36
2014,"ACI Operations New Zealand Limited","Glass containers",35515,144901.2
2014,"Evonik Peroxide Limited","Hydrogen peroxide",11212,45744.96
2014,"New Zealand Steel Development Limited","Iron and steel from iron sand",1073489,4379835.12
2014,"Fonterra Limited","Lactose",26109,106524.72
2014,"Carter Holt Harvey Pulp & Paper Limited","Market pulp",147321,601069.68
2014,"Pan Pac Forest Products Limited","Market pulp",122535,499942.8
2014,"Winstone Pulp International Limited","Market pulp",87006,354984.48
2014,"Methanex New Zealand Limited","Methanol",777432,3171922.56
2014,"Norske Skog Tasman Limited","Newsprint",124989,509955.12
2014,"Carter Holt Harvey Limited","Packaging and industrial paper",19647,80159.76
2014,"Carter Holt Harvey Pulp & Paper Limited","Packaging and industrial paper",124614,508425.12
2014,"AFFCO New Zealand Limited","Protein meal",6639,27087.12
2014,"Alliance Group Limited","Protein meal",6305,25724.4
2014,"Blue Sky Meats (N.Z.) Limited","Protein meal",427,1742.16
2014,"CMP Canterbury Limited","Protein meal",5407,22060.56
2014,"Graeme Lowe Protein Limited","Protein meal",5752,23468.16
2014,"Hawkes Bay Protein Limited","Protein meal",2915,11893.2
2014,"Kakariki Proteins Limited","Protein meal",1056,4308.48
2014,"Keep It Clean Limited","Protein meal",2092,8535.36
2014,"Prime Range Meats Limited","Protein meal",65,265.2
2014,"PVL Proteins Limited","Protein meal",2010,8200.8
2014,"Silver Fern Farms Limited","Protein meal",4343,17719.44
2014,"Taranaki By Products Limited","Protein meal",8501,34684.08
2014,"Taylor Preston Limited","Protein meal",1193,4867.44
2014,"Tegel Foods Limited","Protein meal",927,3782.16
2014,"Value Proteins Limited","Protein meal",1182,4822.56
2014,"Wallace Corporation Limited","Protein meal",8016,32705.28
2014,"Carter Holt Harvey Limited","Reconstituted wood panels",734,2994.72
2014,"Daiken New Zealand Limited","Reconstituted wood panels",9093,37099.44
2014,"Dongwha Patinna NZ Limited","Reconstituted wood panels",8673,35385.84
2014,"Fletcher Building Products Limited","Reconstituted wood panels",1816,7409.28
2014,"Juken New Zealand Limited","Reconstituted wood panels",4196,17119.68
2014,"Nelson Pine Industries Limited","Reconstituted wood panels",14748,60171.84
2014,"Asaleo Care New Zealand Limited","Tissue paper",18064,73701.12
2014,"Fonterra Limited","Whey powder",830,3386.4
2015,"New Zealand Aluminium Smelters Limited","Aluminium Smelting",772706,4126250.04
2015,"Graymont (NZ) Limited (formerly McDonald's Lime Limited)","Burnt lime",152951,816758.34
2015,"Websters Hydrated Lime Company Limited","Burnt lime",3089,16495.26
2015,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide (urea)",173906,928658.04
2015,"Pacific Steel (NZ) Limited","Carbon steel from cold fe",13271,70867.14
2015,"Whakatane Mill Limited","Cartonboard",79585,424983.9
2015,"Oji Fibre Solutions (NZ) Limited (formerly Carter Holt Harvey Pulp & Paper 
Limited)","Caustic soda",9927,53010.18
2015,"Fletcher Concrete and Infrastructure Limited","Cementitious products",325532,1738340.88
2015,"Holcim (New Zealand) Limited","Cementitious products",184794,986799.96
2015,"CSR Building Products (NZ) Ltd","Clay bricks and field til",1563,8346.42
2015,"Moffatts Flower Company Limited","Cut roses",920,4912.8
2015,"Paul Gregory Whitehead,  John Hamilton Falloon","Cut roses",45,240.3
2015,"Riverland Holdings Limited (formerly Riverland Nurseries Limited)","Cut roses",453,2419.02
2015,"Royal Roses Limited","Cut roses",45,240.3
2015,"Shipherd Nurseries Limited","Cut roses",1054,5628.36
2015,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",20,106.8
2015,"Van Berlo Limited","Cut roses",128,683.52
2015,"Van Lier Nurseries Limited","Cut roses",547,2920.98
2015,"Anchor Ethanol Limited","Ethanol",7582,40487.88
2015,"Appleby Fresh Limited","Fresh capsicums",34,181.56
2015,"Gourmet Mokai Limited","Fresh capsicums",1807,9649.38
2015,"Gourmet Paprika Limited","Fresh capsicums",3561,19015.74
2015,"Gourmet Waiuku Limited","Fresh capsicums",1566,8362.44
2015,"Harbour Head Growers Limited","Fresh capsicums",156,833.04
2015,"Homestead Produce Limited","Fresh capsicums",589,3145.26
2015,"J.S. Ewers Limited","Fresh capsicums",708,3780.72
2015,"M & T Matthews Partnership","Fresh capsicums",9,48.06
2015,"Poppas Peppers 2009 Limited","Fresh capsicums",217,1158.78
2015,"Sinai Hort Limited","Fresh capsicums",377,2013.18
2015,"Southern Paprika Limited","Fresh capsicums",7269,38816.46
2015,"Taaza Green Limited","Fresh capsicums",177,945.18
2015,"Under Glass (Bombay) Limited","Fresh capsicums",357,1906.38
2015,"Whakatane Growers Limited","Fresh capsicums",804,4293.36
2015,"Alwyn Ernest & Anne Marie Inger","Fresh cucumbers",429,2290.86
2015,"B Singh & P K Singh","Fresh cucumbers",771,4117.14
2015,"Exception Limited","Fresh cucumbers",4122,22011.48
2015,"Hanna Hothouses Limited","Fresh cucumbers",114,608.76
2015,"Island Horticulture Limited","Fresh cucumbers",817,4362.78
2015,"Jai Shankar Growers Limited","Fresh cucumbers",310,1655.4
2015,"Karaka Park Produce Limited","Fresh cucumbers",543,2899.62
2015,"M & T Matthews Partnership","Fresh cucumbers",72,384.48
2015,"Parkgard Growers 2000 Limited","Fresh cucumbers",61,325.74
2015,"R K & M D Sharma","Fresh cucumbers",1163,6210.42
2015,"Sharma Produce Limited","Fresh cucumbers",1089,5815.26
2015,"Under Glass (Bombay) Limited","Fresh cucumbers",1144,6108.96
2015,"A J & J E Ivicevich","Fresh tomatoes",133,710.22
2015,"Castle Rock Orchard Limited","Fresh tomatoes",367,1959.78
2015,"F and B Abma","Fresh tomatoes",159,849.06
2015,"Gourmet Mokai Limited","Fresh tomatoes",2130,11374.2
2015,"Graeme David Fair & Ann Christine Fair","Fresh tomatoes",5,26.7
2015,"Great Lake Tomatoes Limited","Fresh tomatoes",2379,12703.86
2015,"Hanna Hothouses Limited","Fresh tomatoes",162,865.08
2015,"J.S. Ewers Limited","Fresh tomatoes",2916,15571.44
2015,"Jai Shankar Growers Limited","Fresh tomatoes",156,833.04
2015,"Karamea Tomatoes Limited","Fresh tomatoes",312,1666.08
2015,"Kingbridge Limited","Fresh tomatoes",48,256.32
2015,"Lycopene Fresh Vegefruit Ltd","Fresh tomatoes",26,138.84
2015,"MA & AM & EM Sanders Partnership","Fresh tomatoes",257,1372.38
2015,"New Zealand Fresh Floria Limited","Fresh tomatoes",39,208.26
2015,"Nortonta Limited","Fresh tomatoes",450,2403
2015,"P H Kinzett Limited","Fresh tomatoes",841,4490.94
2015,"P J & M J Fausett Partnership","Fresh tomatoes",82,437.88
2015,"Parkgard Growers 2000 Limited","Fresh tomatoes",37,197.58
2015,"Pomoana Gardens Limited","Fresh tomatoes",135,720.9
2015,"Rembrandt van Rijen Limited","Fresh tomatoes",1308,6984.72
2015,"Reupena Kovati & Eseta Kovati","Fresh tomatoes",32,170.88
2015,"Status Produce Limited","Fresh tomatoes",6512,34774.08
2015,"Tiny Toms Limited","Fresh tomatoes",62,331.08
2015,"Under Glass (Bombay) Limited","Fresh tomatoes",2397,12799.98
2015,"Under Glass (Karaka) Limited","Fresh tomatoes",4198,22417.32
2015,"Vege Fresh Growers Limited","Fresh tomatoes",332,1772.88
2015,"Wa Chit Chan & Lai Ying Cuby Ng Partnership","Fresh tomatoes",34,181.56
2015,"GELITA NZ Limited","Gelatine",3038,16222.92
2015,"ACI Operations NZ Limited","Glass containers",35333,188678.22
2015,"Evonik Peroxide Limited","Hydrogen peroxide",11671,62323.14
2015,"New Zealand Steel Development Limited","Iron and steel from iron",1067501,5700455.34
2015,"Fonterra Limited","Lactose",29515,157610.1
2015,"Oji Fibre Solutions (NZ) Limited (formerly Carter Holt Harvey Pulp & Paper 
Limited)","Market pulp",148311,791980.74
2015,"Pan Pac Forest Products Limited","Market pulp",121292,647699.28
2015,"Winstone Pulp International Limited","Market pulp",91785,490131.9
2015,"Methanex New Zealand Limited","Methanol",655851,3502244.34
2015,"Norske Skog Tasman Limited","Newsprint",122825,655885.5
2015,"Oji Fibre Solutions (NZ) Limited (formerly Carter Holt Harvey Pulp & Paper 
Limited)","Packaging and industrial",143262,765019.08
2015,"AFFCO New Zealand Limited","Protein meal",8305,44348.7
2015,"Alliance Group Limited","Protein meal",6873,36701.82
2015,"Blue Sky Meats (NZ) Limited","Protein meal",461,2461.74
2015,"CMP Canterbury Limited","Protein meal",4334,23143.56
2015,"Farm Brands Limited","Protein meal",4473,23885.82
2015,"Graeme Lowe Protein Limited","Protein meal",204,1089.36
2015,"Hawkes Bay Protein Limited","Protein meal",3226,17226.84
2015,"Kakariki Proteins Limited","Protein meal",713,3807.42
2015,"Keep It Clean Limited","Protein meal",2255,12041.7
2015,"Prime Range Meats Limited","Protein meal",273,1457.82
2015,"PVL Proteins Limited","Protein meal",2299,12276.66
2015,"Silver Fern Farms Limited","Protein meal",2209,11796.06
2015,"Taranaki By Products Limited","Protein meal",9582,51167.88
2015,"Taylor Preston Limited","Protein meal",1350,7209
2015,"Tegel Foods Limited","Protein meal",864,4613.76
2015,"Value Proteins Limited","Protein meal",954,5094.36
2015,"Wallace Corporation Limited","Protein meal",9249,49389.66
2015,"Carter Holt Harvey Limited","Reconstituted wood panels",477,2547.18
2015,"Daiken New Zealand Limited","Reconstituted wood panels",10277,54879.18
2015,"Dongwha New Zealand Limited","Reconstituted wood panels",8850,47259
2015,"Fletcher Building Products Limited","Reconstituted wood panels",1856,9911.04
2015,"Juken New Zealand Limited","Reconstituted wood panels",3755,20051.7
2015,"Nelson Pine Industries Limited","Reconstituted wood panels",15269,81536.46
2015,"Asaleo Care New Zealand Limited","Tissue paper",17061,91105.74
2015,"Fonterra Limited","Whey powder",1802,9622.68
2016,"New Zealand Aluminium Smelters Limited","Aluminium Smelting",786306,11503656.78
2016,"Graymont (NZ) Limited","Burnt lime",140446,2054724.98
2016,"Websters Hydrated Lime Company Limited","Burnt lime",3306,48366.78
2016,"Ballance Agri-Nutrients (Kapuni) Limited","Carbamide (urea)",159680,2336118.4
2016,"Pacific Steel (NZ) Limited","Carbon steel from cold ferrous feed",488,7139.44
2016,"Whakatane Mill Limited","Cartonboard",86764,1269357.32
2016,"Oji Fibre Solutions (NZ) Limited","Caustic soda",9845,144032.35
2016,"Fletcher Concrete and Infrastructure Limited","Cementitious products",360933,5280449.79
2016,"Holcim (New Zealand) L​imited","Cementitious products",44439,650142.57
2016,"Moffatts Flower Company Limited","Cut roses",796,11645.48
2016,"Paul Gregory Whitehead, John Hamilton Charles Falloon","Cut roses",47,687.61
2016,"Royal Roses Limited","Cut roses",49,716.87
2016,"Shipherd Nurseries Limited","Cut roses",1006,14717.78
2016,"Theodorus Nicolaas Maria Jordens, Elisabeth Margi Jordens","Cut roses",11,160.93
2016,"Van Berlo Limited","Cut roses",141,2062.83
2016,"Van Lier Nurseries Limited","Cut roses",653,9553.39
2016,"Anchor Ethanol Limited","Ethanol",5465,79952.95
2016,"Appleby Fresh Limited","Fresh capsicums",39,570.57
2016,"Gourmet Mokai Limited","Fresh capsicums",1767,25851.21
2016,"Gourmet Paprika Limited","Fresh capsicums",3472,50795.36
2016,"Gourmet Waiuku Limited","Fresh capsicums",1551,22691.13
2016,"Homestead Produce Limited","Fresh capsicums",484,7080.92
2016,"J.S. Ewers Limited","Fresh capsicums",690,10094.7
2016,"Poppas Peppers 2009 Limited","Fresh capsicums",253,3701.39
2016,"Sinai Hort Limited","Fresh capsicums",377,5515.51
2016,"Sinnott Holdings Limited","Fresh capsicums",106,1550.78
2016,"Southern Paprika Limited","Fresh capsicums",6616,96792.08
2016,"Taaza Green Limited","Fresh capsicums",198,2896.74
2016,"Whakatane Growers Limited","Fresh capsicums",776,11352.88
2016,"B Singh & P K Singh","Fresh cucumbers",571,8353.73
2016,"Exception Limited","Fresh cucumbers",4591,67166.33
2016,"Island Horticulture Limited","Fresh cucumbers",884,12932.92
2016,"Jai Shankar Growers Limited","Fresh cucumbers",300,4389
2016,"Karaka Park Produce Limited","Fresh cucumbers",665,9728.95
2016,"Parkgard Growers 2000 Limited","Fresh cucumbers",87,1272.81
2016,"R K & M D Sharma","Fresh cucumbers",829,12128.27
2016,"Sharma Produce Limited","Fresh cucumbers",1108,16210.04
2016,"Under Glass (Bombay) Limited","Fresh cucumbers",1044,15273.72
2016,"Castle Rock Orchard Limited","Fresh tomatoes",307,4491.41
2016,"F and B Abma","Fresh tomatoes",174,2545.62
2016,"Gourmet Mokai Limited","Fresh tomatoes",2007,29362.41
